DATABASE	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)
cpd12249	10000000	10000000
cpd12250	10000000	10000000
cpd12251	10000000	10000000
cpd12252	10000000	10000000
cpd12253	10000000	10000000
cpd12254	10000000	10000000
cpd12255	10000000	10000000
cpd12256	10000000	10000000
cpd12257	10000000	10000000
cpd12258	10000000	10000000
cpd12259	10000000	10000000
cpd12260	10000000	10000000
cpd12261	10000000	10000000
cpd12262	10000000	10000000
cpd12263	10000000	10000000
cpd12264	10000000	10000000
cpd12265	10000000	10000000
cpd12266	10000000	10000000
cpd12267	10000000	10000000
cpd12268	10000000	10000000
cpd12269	10000000	10000000
cpd12270	-863.66	3.54191
cpd12271	10000000	10000000
cpd12272	-535.24	4.52507
cpd12273	10000000	10000000
cpd12274	10000000	10000000
cpd12275	10000000	10000000
cpd12276	10000000	10000000
cpd12277	10000000	10000000
cpd12278	10000000	10000000
cpd12279	10000000	10000000
cpd12280	10000000	10000000
cpd12281	10000000	10000000
cpd12282	10000000	10000000
cpd12283	10000000	10000000
cpd12284	10000000	10000000
cpd12285	10000000	10000000
cpd12286	10000000	10000000
cpd12287	10000000	10000000
cpd12288	10000000	10000000
cpd12289	10000000	10000000
cpd12290	10000000	10000000
cpd12291	10000000	10000000
cpd12292	10000000	10000000
cpd12293	10000000	10000000
cpd12294	10000000	10000000
cpd12295	10000000	10000000
cpd12296	-49.38	7.18835
cpd12297	10000000	10000000
cpd12298	10000000	10000000
cpd12299	10000000	10000000
cpd12300	10000000	10000000
cpd12301	10000000	10000000
cpd12302	10000000	10000000
cpd12303	10000000	10000000
cpd12304	10000000	10000000
cpd12305	10000000	10000000
cpd12306	10000000	10000000
cpd12307	10000000	10000000
cpd12308	10000000	10000000
cpd12309	10000000	10000000
cpd12310	10000000	10000000
cpd12311	10000000	10000000
cpd12312	10000000	10000000
cpd12313	10000000	10000000
cpd12314	-216.6	1.66274
cpd12315	10000000	10000000
cpd12317	10000000	10000000
cpd12318	10000000	10000000
cpd12319	10000000	10000000
cpd12320	10000000	10000000
cpd12321	10000000	10000000
cpd12322	10000000	10000000
cpd12323	10000000	10000000
cpd12324	10000000	10000000
cpd12325	10000000	10000000
cpd12326	10000000	10000000
cpd12327	10000000	10000000
cpd12328	10000000	10000000
cpd12329	10000000	10000000
cpd12330	10000000	10000000
cpd12331	10000000	10000000
cpd12332	10000000	10000000
cpd12333	10000000	10000000
cpd12334	10000000	10000000
cpd12335	10000000	10000000
cpd12336	10000000	10000000
cpd12337	10000000	10000000
cpd12338	10000000	10000000
cpd12339	10000000	10000000
cpd12340	10000000	10000000
cpd12341	10000000	10000000
cpd12342	10000000	10000000
cpd12343	10000000	10000000
cpd12344	10000000	10000000
cpd12346	10000000	10000000
cpd12347	-122.98	0.189488
cpd12348	10000000	10000000
cpd12349	10000000	10000000
cpd12350	10000000	10000000
cpd12351	10000000	10000000
cpd12352	10000000	10000000
cpd12353	10000000	10000000
cpd12354	10000000	10000000
cpd12355	10000000	10000000
cpd12356	10000000	10000000
cpd12357	10000000	10000000
cpd12358	10000000	10000000
cpd12359	10000000	10000000
cpd12360	10000000	10000000
cpd12361	10000000	10000000
cpd12362	10000000	10000000
cpd12363	10000000	10000000
cpd12364	10000000	10000000
cpd12365	10000000	10000000
cpd12366	10000000	10000000
cpd12367	-201	0.310287
cpd12368	10000000	10000000
cpd12369	5.7	0.667797
cpd12370	10000000	10000000
cpd12371	10000000	10000000
cpd12372	10000000	10000000
cpd12373	10000000	10000000
cpd12374	10000000	10000000
cpd12375	10000000	10000000
cpd12377	10000000	10000000
cpd12378	10000000	10000000
cpd12379	10000000	10000000
cpd12380	10000000	10000000
cpd12381	10000000	10000000
cpd12382	10000000	10000000
cpd12383	10000000	10000000
cpd12384	10000000	10000000
cpd12385	10000000	10000000
cpd12386	10000000	10000000
cpd12387	10000000	10000000
cpd12388	10000000	10000000
cpd12389	10000000	10000000
cpd12390	10000000	10000000
cpd12391	-359.87	1.87386
cpd12392	10000000	10000000
cpd12393	-321.76	3.94034
cpd12394	10000000	10000000
cpd12395	10000000	10000000
cpd12396	10000000	10000000
cpd12397	10000000	10000000
cpd12399	10000000	10000000
cpd12400	10000000	10000000
cpd12401	10000000	10000000
cpd12402	10000000	10000000
cpd12403	10000000	10000000
cpd12405	10000000	10000000
cpd12406	10000000	10000000
cpd12407	-353.58	1.96782
cpd12408	10000000	10000000
cpd12409	10000000	10000000
cpd12410	10000000	10000000
cpd12411	10000000	10000000
cpd12412	10000000	10000000
cpd12413	10000000	10000000
cpd12414	10000000	10000000
cpd12415	10000000	10000000
cpd12416	10000000	10000000
cpd12417	10000000	10000000
cpd12419	10000000	10000000
cpd12420	10000000	10000000
cpd12421	10000000	10000000
cpd12422	10000000	10000000
cpd12423	10000000	10000000
cpd12424	10000000	10000000
cpd12425	10000000	10000000
cpd12427	10000000	10000000
cpd12428	10000000	10000000
cpd12429	10000000	10000000
cpd12430	10000000	10000000
cpd12431	10000000	10000000
cpd12432	10000000	10000000
cpd12433	10000000	10000000
cpd12434	10000000	10000000
cpd12435	10000000	10000000
cpd12436	10000000	10000000
cpd12437	10000000	10000000
cpd12438	10000000	10000000
cpd12439	10000000	10000000
cpd12440	10000000	10000000
cpd12441	-359.01	0.991544
cpd12442	10000000	10000000
cpd12443	10000000	10000000
cpd12444	10000000	10000000
cpd12445	10000000	10000000
cpd12446	10000000	10000000
cpd12447	10000000	10000000
cpd12448	-164.58	0.238732
cpd12449	10000000	10000000
cpd12450	10000000	10000000
cpd12451	-693.72	6.03434
cpd12452	10000000	10000000
cpd12453	10000000	10000000
cpd12454	10000000	10000000
cpd12455	10000000	10000000
cpd12456	10000000	10000000
cpd12457	10000000	10000000
cpd12458	10000000	10000000
cpd12459	10000000	10000000
cpd12460	-411.09	1.03522
cpd12461	10000000	10000000
cpd12462	10000000	10000000
cpd12463	10000000	10000000
cpd12464	10000000	10000000
cpd12465	10000000	10000000
cpd12466	10000000	10000000
cpd12467	10000000	10000000
cpd12468	10000000	10000000
cpd12469	10000000	10000000
cpd12470	-122.14	0.532067
cpd12471	10000000	10000000
cpd12472	10000000	10000000
cpd12473	10000000	10000000
cpd12474	10000000	10000000
cpd12475	10000000	10000000
cpd12476	10000000	10000000
cpd12477	10000000	10000000
cpd12478	10000000	10000000
cpd12479	10000000	10000000
cpd12480	10000000	10000000
cpd12481	10000000	10000000
cpd12482	10000000	10000000
cpd12483	10000000	10000000
cpd12484	10000000	10000000
cpd12485	10000000	10000000
cpd12486	10000000	10000000
cpd12487	10000000	10000000
cpd12489	10000000	10000000
cpd12490	10000000	10000000
cpd12491	10000000	10000000
cpd12492	10000000	10000000
cpd12493	10000000	10000000
cpd12494	10000000	10000000
cpd12495	10000000	10000000
cpd12496	10000000	10000000
cpd12497	10000000	10000000
cpd12498	10000000	10000000
cpd12499	10000000	10000000
cpd12500	10000000	10000000
cpd12501	10000000	10000000
cpd12502	10000000	10000000
cpd12503	-258.76	4.19358
cpd12504	-353.58	1.96782
cpd12505	10000000	10000000
cpd12506	10000000	10000000
cpd12507	10000000	10000000
cpd12508	10000000	10000000
cpd12509	10000000	10000000
cpd12510	10000000	10000000
cpd12511	10000000	10000000
cpd12512	10000000	10000000
cpd12513	10000000	10000000
cpd12514	10000000	10000000
cpd12516	10000000	10000000
cpd12517	10000000	10000000
cpd12518	10000000	10000000
cpd12519	10000000	10000000
cpd12520	10000000	10000000
cpd12521	10000000	10000000
cpd12522	10000000	10000000
cpd12523	10000000	10000000
cpd12524	10000000	10000000
cpd12525	10000000	10000000
cpd12526	10000000	10000000
cpd12527	10000000	10000000
cpd12528	10000000	10000000
cpd12529	10000000	10000000
cpd12530	10000000	10000000
cpd12531	10000000	10000000
cpd12532	10000000	10000000
cpd12533	10000000	10000000
cpd12534	10000000	10000000
cpd12535	10000000	10000000
cpd12536	10000000	10000000
cpd12537	10000000	10000000
cpd12539	10000000	10000000
cpd12540	10000000	10000000
cpd12541	10000000	10000000
cpd12542	-535.24	4.52507
cpd12543	10000000	10000000
cpd12544	10000000	10000000
cpd12545	10000000	10000000
cpd12546	10000000	10000000
cpd12547	-300.86	1.8823
cpd12548	10000000	10000000
cpd12549	-389.78	1.26546
cpd12550	10000000	10000000
cpd12551	10000000	10000000
cpd12552	10000000	10000000
cpd12553	10000000	10000000
cpd12554	10000000	10000000
cpd12555	10000000	10000000
cpd12556	10000000	10000000
cpd12558	10000000	10000000
cpd12559	-499.75	2.07406
cpd12560	10000000	10000000
cpd12561	10000000	10000000
cpd12562	10000000	10000000
cpd12563	-754.34	1.95235
cpd12564	10000000	10000000
cpd12565	10000000	10000000
cpd12566	10000000	10000000
cpd12567	10000000	10000000
cpd12568	-652.58	3.4878
cpd12569	10000000	10000000
cpd12570	10000000	10000000
cpd12571	10000000	10000000
cpd12572	10000000	10000000
cpd12573	10000000	10000000
cpd12574	10000000	10000000
cpd12575	10000000	10000000
cpd12576	10000000	10000000
cpd12577	70.9	2.66618
cpd12578	10000000	10000000
cpd12579	-811.06	4.82849
cpd12580	10000000	10000000
cpd12581	10000000	10000000
cpd12582	10000000	10000000
cpd12583	10000000	10000000
cpd12584	10000000	10000000
cpd12585	-202.72	1.37055
cpd12586	10000000	10000000
cpd12587	-291.75	2.07047
cpd12588	10000000	10000000
cpd12589	10000000	10000000
cpd12590	10000000	10000000
cpd12591	10000000	10000000
cpd12592	10000000	10000000
cpd12593	10000000	10000000
cpd12594	10000000	10000000
cpd12595	10000000	10000000
cpd12596	10000000	10000000
cpd12597	10000000	10000000
cpd12598	10000000	10000000
cpd12599	10000000	10000000
cpd12600	10000000	10000000
cpd12601	10000000	10000000
cpd12602	10000000	10000000
cpd12603	10000000	10000000
cpd12604	10000000	10000000
cpd12605	10000000	10000000
cpd12606	10000000	10000000
cpd12607	10000000	10000000
cpd12608	10000000	10000000
cpd12609	10000000	10000000
cpd12610	10000000	10000000
cpd12611	10000000	10000000
cpd12612	10000000	10000000
cpd12613	10000000	10000000
cpd12614	10000000	10000000
cpd12615	10000000	10000000
cpd12616	10000000	10000000
cpd12617	10000000	10000000
cpd12618	10000000	10000000
cpd12619	10000000	10000000
cpd12620	10000000	10000000
cpd12621	10000000	10000000
cpd12622	10000000	10000000
cpd12623	10000000	10000000
cpd12624	-678.2	8.0934
cpd12625	10000000	10000000
cpd12626	10000000	10000000
cpd12627	10000000	10000000
cpd12628	10000000	10000000
cpd12629	10000000	10000000
cpd12630	10000000	10000000
cpd12631	10000000	10000000
cpd12632	10000000	10000000
cpd12633	10000000	10000000
cpd12634	10000000	10000000
cpd12635	10000000	10000000
cpd12636	10000000	10000000
cpd12637	10000000	10000000
cpd12638	10000000	10000000
cpd12639	10000000	10000000
cpd12640	10000000	10000000
cpd12641	10000000	10000000
cpd12642	10000000	10000000
cpd12643	10000000	10000000
cpd12644	10000000	10000000
cpd12645	10000000	10000000
cpd12646	10000000	10000000
cpd12647	10000000	10000000
cpd12648	10000000	10000000
cpd12649	10000000	10000000
cpd12650	10000000	10000000
cpd12651	10000000	10000000
cpd12652	10000000	10000000
cpd12653	10000000	10000000
cpd12654	10000000	10000000
cpd12655	10000000	10000000
cpd12656	10000000	10000000
cpd12657	10000000	10000000
cpd12658	10000000	10000000
cpd12659	10000000	10000000
cpd12660	10000000	10000000
cpd12661	10000000	10000000
cpd12662	10000000	10000000
cpd12663	10000000	10000000
cpd12664	10000000	10000000
cpd12665	10000000	10000000
cpd12666	10000000	10000000
cpd12667	10000000	10000000
cpd12668	10000000	10000000
cpd12669	10000000	10000000
cpd12670	10000000	10000000
cpd12671	10000000	10000000
cpd12672	10000000	10000000
cpd12673	10000000	10000000
cpd12674	10000000	10000000
cpd12675	10000000	10000000
cpd12676	10000000	10000000
cpd12677	10000000	10000000
cpd12678	10000000	10000000
cpd12679	10000000	10000000
cpd12680	10000000	10000000
cpd12681	10000000	10000000
cpd12682	10000000	10000000
cpd12683	10000000	10000000
cpd12684	10000000	10000000
cpd12685	10000000	10000000
cpd12686	10000000	10000000
cpd12687	10000000	10000000
cpd12688	10000000	10000000
cpd12689	-796.41	3.83003
cpd12690	10000000	10000000
cpd12691	10000000	10000000
cpd12692	-105.35	1.56283
cpd12693	-51.74	6.87122
cpd12694	10000000	10000000
cpd12695	10000000	10000000
cpd12696	10000000	10000000
cpd12697	10000000	10000000
cpd12698	10000000	10000000
cpd12699	10000000	10000000
cpd12700	10000000	10000000
cpd12701	-263.13	3.06428
cpd12702	10000000	10000000
cpd12703	10000000	10000000
cpd12704	10000000	10000000
cpd12705	-412.45	4.77186
cpd12706	10000000	10000000
cpd12707	10000000	10000000
cpd12708	10000000	10000000
cpd12709	10000000	10000000
cpd12710	10000000	10000000
cpd12711	10000000	10000000
cpd12712	10000000	10000000
cpd12713	10000000	10000000
cpd12714	-43.4	3.04
cpd12715	10000000	10000000
cpd12716	10000000	10000000
cpd12717	10000000	10000000
cpd12718	10000000	10000000
cpd12719	10000000	10000000
cpd12720	10000000	10000000
cpd12721	-412.77	2.66975
cpd12722	10000000	10000000
cpd12723	10000000	10000000
cpd12724	10000000	10000000
cpd12725	10000000	10000000
cpd12726	10000000	10000000
cpd12727	10000000	10000000
cpd12728	10000000	10000000
cpd12729	-215.13	3.25219
cpd12730	10000000	10000000
cpd12731	10000000	10000000
cpd12732	10000000	10000000
cpd12733	10000000	10000000
cpd12734	10000000	10000000
cpd12735	10000000	10000000
cpd12736	10000000	10000000
cpd12737	10000000	10000000
cpd12738	10000000	10000000
cpd12739	10000000	10000000
cpd12740	10000000	10000000
cpd12741	10000000	10000000
cpd12742	10000000	10000000
cpd12743	10000000	10000000
cpd12744	10000000	10000000
cpd12745	10000000	10000000
cpd12746	10000000	10000000
cpd12747	10000000	10000000
cpd12748	10000000	10000000
cpd12749	10000000	10000000
cpd12750	10000000	10000000
cpd12751	-335.03	0.360919
cpd12752	10000000	10000000
cpd12753	10000000	10000000
cpd12754	10000000	10000000
cpd12755	10000000	10000000
cpd12756	10000000	10000000
cpd12757	10000000	10000000
cpd12758	10000000	10000000
cpd12759	10000000	1.69018
cpd12761	10000000	10000000
cpd12762	10000000	10000000
cpd12763	10000000	10000000
cpd12764	10000000	10000000
cpd12766	10000000	10000000
cpd12767	10000000	10000000
cpd12768	10000000	10000000
cpd12769	10000000	10000000
cpd12770	10000000	10000000
cpd12771	10000000	10000000
cpd12772	10000000	10000000
cpd12773	10000000	10000000
cpd12774	10000000	10000000
cpd12775	10000000	10000000
cpd12776	10000000	10000000
cpd12777	10000000	10000000
cpd12778	10000000	10000000
cpd12780	43.03	1.32736
cpd12781	3.55	1.46908
cpd12783	11.731	2.55061
cpd12784	10000000	10000000
cpd12785	-39.6	1.47665
cpd12786	-2070.42	7.42097
cpd12787	-2545.86	10.3636
cpd12788	-326.82	1.53205
cpd12789	-867.24	4.82849
cpd12790	-969.54	6.24965
cpd12791	-1501.16	10.6702
cpd12792	-2078.9	16.6703
cpd12793	10000000	10000000
cpd12794	10000000	10000000
cpd12795	10000000	10000000
cpd12796	-358.73	3.90469
cpd12797	-369.8	1.57156
cpd12798	10000000	10000000
cpd12799	10000000	10000000
cpd12800	10000000	10000000
cpd12801	10000000	10000000
cpd12802	10000000	10000000
cpd12803	10000000	10000000
cpd12804	10000000	10000000
cpd12805	10000000	10000000
cpd12806	10000000	10000000
cpd12807	10000000	10000000
cpd12808	10000000	10000000
cpd12809	10000000	10000000
cpd12810	10000000	10000000
cpd12811	-404.62	4.53403
cpd12812	10000000	10000000
cpd12813	10000000	10000000
cpd12814	10000000	10000000
cpd12815	10000000	10000000
cpd12816	10000000	10000000
cpd12817	10000000	10000000
cpd12818	10000000	10000000
cpd12819	10000000	10000000
cpd12820	10000000	10000000
cpd12821	10000000	10000000
cpd12822	10000000	10000000
cpd12823	37.5	1.5241
cpd12824	10000000	10000000
cpd12825	10000000	10000000
cpd12826	10000000	10000000
cpd12827	10000000	10000000
cpd12828	10000000	10000000
cpd12829	10000000	10000000
cpd12830	10000000	10000000
cpd12831	10000000	10000000
cpd12832	10000000	10000000
cpd12833	10000000	10000000
cpd12834	10000000	10000000
cpd12835	10000000	10000000
cpd12836	10000000	10000000
cpd12837	10000000	10000000
cpd12838	10000000	10000000
cpd12839	10000000	10000000
cpd12840	-537.91	3.9438
cpd12841	-2156.26	18.1895
cpd12842	-1489.7	12.9044
cpd12843	10000000	10000000
cpd12844	2.511	2.6484
cpd12845	10000000	10000000
cpd12846	10000000	10000000
cpd12847	10000000	10000000
cpd12848	10000000	10000000
cpd12849	10000000	10000000
cpd12850	10000000	10000000
cpd12851	10000000	10000000
cpd12852	10000000	10000000
cpd12853	10000000	10000000
cpd12854	10000000	10000000
cpd12855	10000000	10000000
cpd12856	10000000	10000000
cpd12857	10000000	10000000
cpd12858	10000000	10000000
cpd12859	10000000	10000000
cpd12860	10000000	10000000
cpd12861	10000000	10000000
cpd12862	10000000	10000000
cpd12863	10000000	10000000
cpd12864	10000000	10000000
cpd12865	10000000	10000000
cpd12866	10000000	10000000
cpd12868	10000000	10000000
cpd12869	-535.24	4.52507
cpd12870	10000000	10000000
cpd12871	10000000	10000000
cpd12872	10000000	10000000
cpd12873	10000000	10000000
cpd12874	10000000	10000000
cpd12875	10000000	10000000
cpd12876	10000000	10000000
cpd12877	10000000	10000000
cpd12878	10000000	10000000
cpd12879	10000000	10000000
cpd12880	10000000	10000000
cpd12881	10000000	10000000
cpd12882	-65.52	1.57731
cpd12883	10000000	10000000
cpd12884	10000000	10000000
cpd12885	10000000	10000000
cpd12886	10000000	10000000
cpd12887	10000000	10000000
cpd12888	10000000	10000000
cpd12889	10000000	10000000
cpd12890	10000000	10000000
cpd12891	10000000	10000000
cpd12892	10000000	10000000
cpd12893	10000000	10000000
cpd12894	10000000	10000000
cpd12895	10000000	10000000
cpd12896	-230.23	1.89801
cpd12897	10000000	10000000
cpd12898	10000000	10000000
cpd12899	10000000	10000000
cpd12900	10000000	10000000
cpd12901	10000000	10000000
cpd12902	10000000	10000000
cpd12903	10000000	10000000
cpd12931	21.96	2.00434
cpd12991	-273.4	6.36913
cpd13044	10000000	10000000
cpd13045	10000000	10000000
cpd13046	-535.24	4.52507
cpd13047	10000000	10000000
cpd13048	10000000	10000000
cpd13049	-220.954	1.54405
cpd13050	-434.73	3.05915
cpd13051	10000000	10000000
cpd13052	10000000	10000000
cpd13053	10000000	10000000
cpd13054	10000000	10000000
cpd13055	10000000	10000000
cpd13057	10000000	10000000
cpd13083	10000000	10000000
cpd13195	10000000	10000000
cpd13196	10000000	10000000
cpd13197	10000000	10000000
cpd13198	10000000	10000000
cpd13199	10000000	10000000
cpd13218	10000000	10000000
cpd13267	10000000	10000000
cpd13269	10000000	10000000
cpd13319	10000000	10000000
cpd13332	10000000	10000000
cpd13333	10000000	10000000
cpd13334	10000000	10000000
cpd13335	10000000	10000000
cpd13336	10000000	10000000
cpd13337	10000000	10000000
cpd13338	10000000	10000000
cpd13339	10000000	10000000
cpd13340	10000000	10000000
cpd13341	10000000	10000000
cpd13342	10000000	10000000
cpd13343	10000000	10000000
cpd13345	10000000	10000000
cpd13346	10000000	10000000
cpd13347	10000000	10000000
cpd13355	10000000	10000000
cpd13357	10000000	10000000
cpd13361	-129.33	1.58263
cpd13362	10000000	10000000
cpd13363	10000000	10000000
cpd13364	10000000	10000000
cpd13365	10000000	10000000
cpd13366	10000000	10000000
cpd13367	10000000	10000000
cpd13368	10000000	10000000
cpd13369	10000000	10000000
cpd13370	10000000	10000000
cpd13371	10000000	10000000
cpd13372	10000000	10000000
cpd13373	10000000	10000000
cpd13374	10000000	10000000
cpd13375	10000000	10000000
cpd13376	10000000	10000000
cpd13377	10000000	10000000
cpd13378	10000000	10000000
cpd13379	10000000	10000000
cpd13380	10000000	10000000
cpd13381	10000000	10000000
cpd13382	10000000	10000000
cpd13383	10000000	10000000
cpd13384	10000000	10000000
cpd13385	10000000	10000000
cpd13386	10000000	10000000
cpd13387	10000000	10000000
cpd13388	10000000	10000000
cpd13389	10000000	10000000
cpd13390	-30.23	1.27219
cpd13391	-279.29	2.66404
cpd13392	-247.21	2.93708
cpd13395	10000000	10000000
cpd13396	10000000	10000000
cpd13397	10000000	10000000
cpd13399	10000000	10000000
cpd13400	10000000	10000000
cpd13401	10000000	10000000
cpd13402	10000000	10000000
cpd13403	-478.67	4.78126
cpd13404	10000000	10000000
cpd13408	10000000	10000000
cpd13411	10000000	10000000
cpd13412	10000000	10000000
cpd13413	10000000	10000000
cpd13414	10000000	10000000
cpd13415	10000000	10000000
cpd13416	10000000	10000000
cpd13417	10000000	10000000
cpd13418	10000000	10000000
cpd13419	10000000	10000000
cpd13420	10000000	10000000
cpd13421	10000000	10000000
cpd13422	10000000	10000000
cpd13423	10000000	10000000
cpd13424	10000000	10000000
cpd13425	10000000	10000000
cpd13426	10000000	10000000
cpd13427	10000000	10000000
cpd13428	10000000	10000000
cpd13429	-212.51	3.16479
cpd13430	10000000	10000000
cpd13431	10000000	10000000
cpd13432	10000000	10000000
cpd13433	10000000	10000000
cpd13434	10000000	10000000
cpd13435	10000000	10000000
cpd13436	10000000	10000000
cpd13437	10000000	10000000
cpd13438	10000000	10000000
cpd13439	10000000	10000000
cpd13440	10000000	10000000
cpd13441	10000000	10000000
cpd13780	-31.2	0.5
cpd13880	10000000	10000000
cpd13883	10000000	10000000
cpd13904	-233.22	3.7622
cpd13942	10000000	10000000
cpd13953	10000000	10000000
cpd14163	-43.57	4.97871
cpd14170	-43.35	2.94531
cpd14226	10000000	10000000
cpd14231	10000000	10000000
cpd14242	10000000	10000000
cpd14262	10000000	10000000
cpd14295	-80.65	2.47586
cpd14296	-75.41	5.50013
cpd14328	10000000	10000000
cpd14338	10000000	10000000
cpd14339	10000000	10000000
cpd14340	10000000	10000000
cpd14345	10000000	10000000
cpd14346	10000000	10000000
cpd14379	10000000	10000000
cpd14447	10000000	10000000
cpd14448	10000000	10000000
cpd14464	10000000	10000000
cpd14465	10000000	10000000
cpd14466	10000000	10000000
cpd14467	10000000	10000000
cpd14468	10000000	10000000
cpd14469	10000000	10000000
cpd14470	10000000	10000000
cpd14471	10000000	10000000
cpd14472	10000000	10000000
cpd14473	10000000	10000000
cpd14474	10000000	1.57871
cpd14475	10000000	10000000
cpd14476	10000000	10000000
cpd14477	10000000	10000000
cpd14478	10000000	10000000
cpd14479	10000000	10000000
cpd14480	10000000	10000000
cpd14481	10000000	10000000
cpd14482	10000000	10000000
cpd14483	10000000	10000000
cpd14484	10000000	10000000
cpd14485	10000000	10000000
cpd14486	10000000	10000000
cpd14487	-186.34	3.01155
cpd14488	10000000	10000000
cpd14489	10000000	10000000
cpd14490	10000000	10000000
cpd14491	10000000	10000000
cpd14492	10000000	10000000
cpd14493	10000000	10000000
cpd14494	10000000	10000000
cpd14495	10000000	10000000
cpd14496	10000000	10000000
cpd14497	10000000	10000000
cpd14498	10000000	10000000
cpd14499	10000000	10000000
cpd14500	10000000	10000000
cpd14501	10000000	10000000
cpd14502	10000000	10000000
cpd14503	10000000	10000000
cpd14504	10000000	10000000
cpd14505	10000000	10000000
cpd14506	10000000	10000000
cpd14507	10000000	10000000
cpd14508	10000000	10000000
cpd14509	10000000	10000000
cpd14510	10000000	10000000
cpd14511	10000000	10000000
cpd14512	10000000	10000000
cpd14513	43.35	6.88996
cpd14514	36.52	6.91708
cpd14515	10000000	10000000
cpd14516	51.08	6.83458
cpd14517	36.52	6.91708
cpd14518	38.8	6.92372
cpd14519	53.36	6.8413
cpd14520	15.38	6.91673
cpd14521	20.39	6.9158
cpd14522	2.56	7.22329
cpd14523	-4	7.22818
cpd14524	-43.84	7.17567
cpd14525	-37.28	7.16203
cpd14526	-75.32	7.17517
cpd14527	-113.36	7.19481
cpd14528	-106.8	7.19735
cpd14529	-113.36	7.19481
cpd14530	-153.2	7.15504
cpd14531	-22.66	6.93034
cpd14532	-17.65	6.92711
cpd14533	-35.48	7.23412
cpd14534	-42.04	7.24119
cpd14535	-80.08	7.26066
cpd14536	-73.52	7.25142
cpd14537	-80.08	7.26066
cpd14538	-119.92	7.2128
cpd14539	-159.76	7.18184
cpd14540	10000000	10000000
cpd14541	10000000	10000000
cpd14542	10000000	10000000
cpd14543	10000000	10000000
cpd14544	-36.57	6.87881
cpd14545	-95.02	1.64924
cpd14546	10000000	10000000
cpd14547	10000000	10000000
cpd14548	10000000	10000000
cpd14549	10000000	10000000
cpd14550	10000000	10000000
cpd14551	10000000	10000000
cpd14552	50.76	6.87013
cpd14553	10000000	10000000
cpd14554	10000000	10000000
cpd14555	10000000	10000000
cpd14556	10000000	10000000
cpd14557	10000000	10000000
cpd14558	10000000	10000000
cpd14559	10000000	10000000
cpd14560	10000000	10000000
cpd14561	10000000	10000000
cpd14562	10000000	10000000
cpd14563	10000000	10000000
cpd14564	10000000	10000000
cpd14565	10000000	10000000
cpd14566	10000000	10000000
cpd14567	10000000	10000000
cpd14568	10000000	10000000
cpd14569	10000000	10000000
cpd14570	10000000	10000000
cpd14571	10000000	10000000
cpd14572	10000000	10000000
cpd14573	10000000	10000000
cpd14574	10000000	10000000
cpd14575	10000000	10000000
cpd14576	10000000	10000000
cpd14577	10000000	10000000
cpd14578	10000000	10000000
cpd14579	10000000	10000000
cpd14580	10000000	10000000
cpd14581	10000000	10000000
cpd14582	10000000	10000000
cpd14583	10000000	10000000
cpd14584	26.12	3.23656
cpd14585	10000000	10000000
cpd14586	10000000	10000000
cpd14587	10000000	10000000
cpd14588	256.02	5.49213
cpd14589	281.46	6.96603
cpd14590	196.39	6.10129
cpd14591	213.93	6.67824
cpd14592	37.91	6.29796
cpd14593	10000000	10000000
cpd14594	10000000	10000000
cpd14595	10000000	10000000
cpd14596	10000000	10000000
cpd14597	10000000	10000000
cpd14598	294.18	7.78516
cpd14599	10000000	10000000
cpd14600	10000000	10000000
cpd14601	216.52	6.601
cpd14602	10000000	10000000
cpd14603	10000000	10000000
cpd14604	10000000	10000000
cpd14605	234.06	7.16612
cpd14606	10000000	10000000
cpd14607	10000000	10000000
cpd14608	248.71	7.19398
cpd14609	187.45	6.92132
cpd14610	204.99	7.50339
cpd14611	10000000	10000000
cpd14612	219.64	7.55365
cpd14613	-7.3	1.82613
cpd14614	-8.93	2.07616
cpd14615	188.07	7.55808
cpd14616	156.5	7.57541
cpd14617	231.17	6.63123
cpd14618	169.91	6.35529
cpd14619	184.56	6.41455
cpd14620	10000000	10000000
cpd14621	10000000	10000000
cpd14622	10000000	10000000
cpd14623	203.8	5.8043
cpd14624	10000000	10000000
cpd14625	10000000	10000000
cpd14626	218.45	5.83866
cpd14627	10000000	10000000
cpd14628	221.34	6.3433
cpd14629	10000000	10000000
cpd14630	235.99	6.37476
cpd14631	10000000	10000000
cpd14632	174.73	6.0872
cpd14633	204.42	6.37638
cpd14634	10000000	10000000
cpd14635	143.16	6.08763
cpd14636	10000000	10000000
cpd14637	239.53	6.1557
cpd14638	258.88	6.4616
cpd14639	237.08	6.18799
cpd14640	193.94	6.13386
cpd14641	10000000	10000000
cpd14642	10000000	10000000
cpd14643	35.46	6.32952
cpd14644	21.08	6.88151
cpd14645	10000000	10000000
cpd14646	10000000	10000000
cpd14647	10000000	10000000
cpd14648	136.05	6.66958
cpd14649	10000000	10000000
cpd14650	10000000	10000000
cpd14651	10000000	10000000
cpd14652	-218.28	1.54422
cpd14653	-430.78	1.50566
cpd14654	-673.08	3.70081
cpd14655	-430.78	1.50566
cpd14656	10000000	10000000
cpd14657	101.22	6.66656
cpd14658	10000000	10000000
cpd14659	-268.66	0.889648
cpd14660	10000000	10000000
cpd14661	96.21	6.67468
cpd14662	175.89	6.68298
cpd14663	82.94	6.99716
cpd14664	10000000	10000000
cpd14665	43.1	7.01768
